318,CORDEIROS,1
319,COCOS,1
320,CIPO,1
321,CHORROCHO,1
322,CATOLANDIA,1
323,CARINHANHA,1
324,CANAVIEIRAS,1
325,BOQUIRA,1
326,BOM JESUS DA SERRA,1
327,BOA VISTA DO TUPIM,1
328,BOA NOVA,1
329,BIRITINGA,1
330,BARRA DO MENDES,1
331,ARACAS,1
332,ANTAS,1
333,ABARE,1
1,ADUSTINA,1
2,AGUA FRIA,1
3,AIQUARA,1
4,ALAGOINHAS,5
5,ALMADINA,1
6,AMARGOSA,1
7,ANAGE,1
8,APORA,1
9,ARACI,1
10,ARATUIPE,1
11,BARREIRAS,4
12,BELMONTE,1
13,BRUMADO,2
14,BUERAREMA,5
15,CACULE*,1
16,CAIRU,1
17,CALDEIRAO GRANDE,1
18,CAMACAN,5
19,CAMACARI*,15
20,CAMAMU*,1
21,CAMPO ALEGRE DE LOURDES,1
22,CANAVIEIRAS,2
23,CANDEIAS*,15
24,CANDIDO SALES,2
25,CANSANCAO,2
26,CAPIM GROSSO,3
27,CASA NOVA,3
28,CASTRO ALVES,1
29,CATU,1
30,CICERO DANTAS,1
31,COARACI,3
32,CONCEICAO DA FEIRA,1
33,CONDE,2
34,CRUZ DAS ALMAS,1
35,DARIO MEIRA,1
36,DIAS DAVILA,7
37,EUCLIDES DA CUNHA,1
38,EUNAPOLIS,7
39,FEIRA DE SANTANA,41
40,FILADELFIA,1
41,GANDU,8
42,GONGOGI,2
43,GOVERNADOR MANGABEIRA,1
44,IACU,4
45,IBICARAI,1
46,IBIRAPITANGA,1
47,IBIRAPUA,1
48,IBIRATAIA,2
49,IBITIARA,1
50,IGRAPIUNA,1
51,IGUAI,1
52,ILHEUS,41
53,IPIAU *,9
54,IPIRA,2
55,IRECE,1
56,ITABELA,1
57,ITABERABA,5
58,ITABUNA,53
59,ITACARE,3
60,ITAGIBA,2
61,ITAJUIPE,2
62,ITAMARAJU,7
63,ITANAGRA,2
64,ITANHEM,1
65,ITAPARICA,3
66,ITAPE,2
67,ITAPETINGA,5
68,ITARANTIM,1
69,ITATIM*,2
70,ITIUBA*,1
71,ITORORO,1
72,ITUBERA,1
73,JACOBINA,1
74,JAGUARIPE,1
75,JANDAIRA,1
76,JEQUIE,26
77,JITAUNA,2
78,JOAO DOURADO,1
79,JUAZEIRO,15
80,LAFAIETE COUTINHO,1
81,LAURO DE FREITAS,30
82,MACARANI,1
83,MADRE DE DEUS,2
84,MANOEL VITORINO,1
85,MARACAS,1
86,MARAGOGIPE,2
87,MARAU,2
88,MATA DE SAO JOAO,1
89,MEDEIROS NETO,1
90,MIGUEL CALMON,2
91,MILAGRES,1
92,MIRANTE,1
93,MONTE SANTO,1
94,MORPARA,1
95,MUCURI,1
96,MULUNGU DO MORRO,1
97,MUNDO NOVO*,1
98,MURITIBA,1
99,NILO PECANHA,1
100,NOVA FATIMA,1
101,NOVA VICOSA,3
102,PARAMIRIM,1
103,PAU BRASIL,3
104,PAULO AFONSO,2
105,POCOES,2
106,POJUCA,1
107,PONTO NOVO,1
108,PORTO SEGURO,1
109,PRADO,1
110,REMANSO,1
111,RIACHAO DO JACUIPE,2
112,RIBEIRA DO POMBAL,1
113,RIO DO PIRES,1
114,RUY BARBOSA,1
115,SALINAS DA MARGARIDA,1
116,SALVADOR*,1029
117,SANTA CRUZ DA VITORIA,1
118,SANTA INES,1
119,SANTA RITA DE CASSIA,1
120,SANTA TERESINHA,1
121,SANTALUZ,1
122,SANTO AMARO,3
123,SANTO ANTONIO DE JESUS,4
124,SANTO ESTEVAO,1
125,SAO FRANCISCO DO CONDE,3
126,SAO GONCALO DOS CAMPOS,1
127,SAO JOSE DA VITORIA,1
128,SAO SEBASTIAO DO PASSE,4
129,SAUBARA,2
130,SEABRA,1
131,SENHOR DO BONFIM,1
132,SERRINHA,2
133,SIMOES FILHO,20
134,SOBRADINHO,9
135,TANQUINHO,1
136,TEIXEIRA DE FREITAS,12
137,TERRA NOVA,1
138,TUCANO,1
139,UBAITABA,2
140,UBATA,1
141,URANDI,2
142,URUCUCA *,14
143,UTINGA,1
144,VALENCA,13
145,VALENTE,3
146,VARZEA DA ROCA,1
147,VARZEDO,1
148,VERA CRUZ,3
149,VEREDA,1
150,VITORIA DA CONQUISTA,14
151,WENCESLAU GUIMARAES,2
152,PERNAMBUCO/AFRANIO,1
153,RIO DE JANEIRO/RIO DE JANEIRO,1
154,RIO GRANDE DO SUL/CAXIAS DO SUL,1
155,SAO PAULO/SAO PAULO,1
156,TOCANTINS/NOVA ROSALANDIA*,1
1,ALAGOINHAS,6
2,AMARGOSA,1
3,ANAGE,1
4,ARACAJU,1
5,ARACI,1
6,ARARIPINA,2
7,BARREIRAS,5
8,BRUMADO,1
9,CALDEIRAO GRANDE,1
10,CAMACAN,4
11,CAMACARI,12
12,CANAVIEIRAS,1
13,CANDEIAS,6
14,CANSANCAO,1
15,CAPIM GROSSO,2
16,CASTRO ALVES,1
17,CONCEICAO DA FEIRA,1
18,CONDE,1
19,EUNAPOLIS,5
20,FEIRA DE SANTANA,36
21,FILADELFIA,1
22,FLORIANO,1
23,GANDU,5
24,GUAMARE*,1
25,IACU,4
26,IBIRATAIA,2
27,IGRAPIUNA,1
28,ILHEUS*,68
29,IPIAU *,3
30,IPIRA,1
31,ITABELA,1
32,ITABERABA,2
33,ITABUNA,68
34,ITACARE,1
35,ITAJUIPE,1
36,ITAMARAJU,5
37,ITAPETINGA,2
38,ITUBERA,1
39,JEQUIE*,31
40,JOAO DOURADO,1
41,JUAZEIRO,16
42,LAURO DE FREITAS*,21
43,MANOEL VITORINO,1
44,MEDEIROS NETO,1
45,MILAGRES,1
46,MUCURI,1
47,MULUNGU DO MORRO,1
48,NAZARE,1
49,NOVA VICOSA,2
50,PAULO AFONSO,2
51,PETROLINA,3
52,PILAO ARCADO*,1
53,POCOES,1
54,POJUCA,1
55,PORTO SEGURO,2
56,REMANSO,4
57,RIACHAO DO JACUIPE,1
58,RIBEIRA DO POMBAL,1
59,RUY BARBOSA,1
60,SALVADOR*,1152
61,SANTA MARIA DA VITORIA,1
62,SANTA TERESINHA,1
63,SANTALUZ,1
64,SANTO ANTONIO DE JESUS,3
65,SAO FELIX,1
66,SAO GONCALO DOS CAMPOS,1
67,SAO SEBASTIAO DO PASSE,1
68,SEABRA,1
69,SENHOR DO BONFIM,1
70,SERRINHA,2
71,SIMOES FILHO,11
72,SOBRADINHO,3
73,TEIXEIRA DE FREITAS,15
74,URUCUCA,2
75,UTINGA,1
76,VALENCA,10
77,VALENCA,1
78,VARZEA DA ROCA,1
79,VERA CRUZ,1
80,VITORIA DA CONQUISTA,40
1,SALVADOR,26814
2,ITABUNA,2052
3,FEIRA DE SANTANA,1744
4,LAURO DE FREITAS,1156
5,ILHEUS,1106
6,CAMACARI,1050
7,TEIXEIRA DE FREITAS,969
8,JEQUIE,813
9,SIMOES FILHO,676
10,IPIAU,607
11,VITORIA DA CONQUISTA,597
12,CANDEIAS,553
13,EUNAPOLIS,528
14,JUAZEIRO,434
15,ITAMARAJU,432
16,VALENCA,390
17,GANDU,388
18,ALAGOINHAS,327
19,SANTO ANTONIO DE JESUS,324
20,PORTO SEGURO,286
21,BARREIRAS,271
22,CAMACAN,256
23,ITAJUIPE,237
24,URUCUCA,228
25,CATU,219
26,DIAS DAVILA,206
27,SAO FRANCISCO DO CONDE,195
28,SERRINHA,192
29,ITABERABA,187
30,POJUCA,176
31,IGUAI,172
32,CONCEICAO DO JACUIPE,165
33,LUIS EDUARDO MAGALHAES,160
34,MADRE DE DEUS,160
35,PAULO AFONSO,147
36,BRUMADO,147
37,TEOFILANDIA,141
38,ARACI,141
39,SAO SEBASTIAO DO PASSE,139
40,MATA DE SAO JOAO,128
41,MUCURI,126
42,NOVA VICOSA,124
43,SOBRADINHO,121
44,URANDI,116
45,POCOES,111
46,IBICARAI,109
47,VALENTE,108
48,SANTO AMARO,104
49,CONCEICAO DO COITE,102
50,SENHOR DO BONFIM,100
