date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-08-06,ACAJUTIBA,13,5,54,72,0,0.04,15159,474.97,2
2020-08-06,FATIMA,27,0,34,61,0,0.03,17890,340.97,1
2020-08-06,ADUSTINA,14,0,46,60,0,0.03,17040,352.11,0
2020-08-06,ARACAS,32,0,12,44,6,0.02,12177,361.34,0
2020-08-06,HELIOPOLIS,12,0,24,36,1,0.02,13031,276.26,0
2020-08-06,SATIRO DIAS,24,0,9,33,0,0.02,17273,191.05,1
2020-08-06,OURICANGAS,22,0,7,29,0,0.02,8564,338.63,0
2020-08-06,CARDEAL DA SILVA,14,0,5,19,0,0.01,9295,204.41,2
2020-08-06,PEDRAO,1,0,16,17,1,0.01,7347,231.39,0
2020-08-06,ITANAGRA,6,0,9,15,0,0.01,6441,232.88,7
2020-08-06,TOTAL,2551,59,4434,7044,154,4
2020-08-06,JUAZEIRO,596,1,2565,3162,31,1.75,216707,1459.11,0
2020-08-06,CAMPO FORMOSO,119,0,586,705,18,0.39,71206,990.09,0
2020-08-06,PINDOBACU,81,0,431,512,44,0.28,20150,2540.94,0
2020-08-06,PAULO AFONSO,282,1,180,463,6,0.26,117782,393.10,0
2020-08-06,SOBRADINHO,36,0,315,351,4,0.19,23191,1513.52,0
2020-08-06,SENHOR DO BONFIM,117,0,216,333,8,0.18,79015,421.44,0
2020-08-06,FILADELFIA,54,0,249,303,1,0.17,16377,1850.16,0
2020-08-06,UAUA,67,2,221,290,0,0.16,24240,1196.37,0
2020-08-06,CASA NOVA,22,0,256,278,2,0.15,71969,386.28,1
2020-08-06,JAGUARARI,24,0,237,261,10,0.14,33570,777.48,0
2020-08-06,SENTO SE,20,0,226,246,1,0.14,40684,604.66,0
2020-08-06,CURACA,35,0,157,192,0,0.11,34700,553.31,0
2020-08-06,JEREMOABO,16,0,133,149,2,0.08,40463,368.24,0
2020-08-06,ANTONIO GONCALVES,38,0,82,120,2,0.07,11798,1017.12,0
2020-08-06,MACURURE,9,6,86,101,0,0.06,7824,1290.90,6
2020-08-06,PONTO NOVO,69,0,25,94,0,0.05,14914,630.28,1
2020-08-06,CANUDOS,6,0,79,85,0,0.05,16668,509.96,0
2020-08-06,REMANSO,31,0,52,83,1,0.05,41008,202.40,0
2020-08-06,CAMPO ALEGRE DE LOURDES,18,0,63,81,0,0.04,28798,281.27,0
2020-08-06,PILAO ARCADO,21,0,54,75,0,0.04,35048,213.99,0
2020-08-06,SANTA BRIGIDA,14,0,49,63,1,0.03,14213,443.26,0
2020-08-06,GLORIA,20,0,28,48,1,0.03,15221,315.35,1
2020-08-06,ABARE,6,0,34,40,0,0.02,20086,199.14,0
2020-08-06,ITIUBA,16,1,20,37,0,0.02,36089,102.52,6
2020-08-06,ANDORINHA,14,0,20,34,1,0.02,14595,232.96,0
2020-08-06,PEDRO ALEXANDRE,5,0,27,32,1,0.02,16667,192.00,0
2020-08-06,RODELAS,6,0,6,12,0,0.01,9331,128.60,18
2020-08-06,CHORROCHO,3,0,6,9,1,0.00,11177,80.52,10
2020-08-06,TOTAL,1745,11,6403,8159,135,5
2020-08-06,BARREIRAS,1070,3,876,1949,38,1.08,155439,1253.87,0
2020-08-06,LUIS EDUARDO MAGALHAES,564,2,671,1237,30,0.68,87519,1413.41,0
2020-08-06,SAO DESIDERIO,41,0,156,197,18,0.11,33742,583.84,0
2020-08-06,IBOTIRAMA,51,0,125,176,0,0.10,26927,653.62,0
2020-08-06,BOM JESUS DA LAPA,30,0,131,161,3,0.09,69148,232.83,0
2020-08-06,CORRENTINA,15,2,119,136,0,0.08,32137,423.19,0
2020-08-06,RIACHAO DAS NEVES,48,1,53,102,2,0.06,22339,456.60,0
2020-08-06,BARRA,18,0,80,98,10,0.05,53578,182.91,0
2020-08-06,BURITIRAMA,26,0,70,96,7,0.05,21174,453.39,0
2020-08-06,SANTA RITA DE CASSIA,13,0,58,71,3,0.04,28338,250.55,0
2020-08-06,CORIBE,40,1,24,65,1,0.04,14194,457.94,0
2020-08-06,SANTA MARIA DA VITORIA,24,0,38,62,8,0.03,39845,155.60,0
2020-08-06,SAO FELIX DO CORIBE,17,6,33,56,4,0.03,15391,363.85,0
2020-08-06,MUQUEM DE SAO FRANCISCO,32,1,23,56,0,0.03,11348,493.48,1
