date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-26,ENTRE RIOS ,21,19,23,63,0,0.11,41780,150.79,0
2020-06-26,ITAPICURU,8,0,52,60,3,0.11,35576,168.65,0
2020-06-26,NOVA SOURE ,4,1,40,45,1,0.08,26947,166.99,2
2020-06-26,RIO REAL ,29,1,8,38,0,0.07,40732,93.29,0
2020-06-26,APORA,6,1,29,36,0,0.06,17731,203.03,2
2020-06-26,ESPLANADA,10,0,16,26,0,0.05,37237,69.82,0
2020-06-26,PARIPIRANGA,6,0,14,20,0,0.04,28989,68.99,0
2020-06-26,ACAJUTIBA,5,0,10,15,1,0.03,15159,98.95,0
2020-06-26,BANZAE,4,7,4,15,0,0.03,13229,113.39,1
2020-06-26,JANDAIRA,8,4,2,14,0,0.03,10709,130.73,2
2020-06-26,CORONEL JOAO SA,1,0,12,13,0,0.02,15895,81.79,24
2020-06-26,ADUSTINA,6,0,7,13,1,0.02,17040,76.29,0
2020-06-26,SITIO DO QUINTO,0,0,12,12,3,0.02,9986,120.17,0
2020-06-26,NOVO TRIUNFO,1,0,11,12,1,0.02,15440,77.72,0
2020-06-26,SATIRO DIAS ,11,0,1,12,0,0.02,17273,69.47,3
2020-06-26,INHAMBUPE,7,0,4,11,0,0.02,39926,27.55,0
2020-06-26,ITANAGRA,5,0,3,8,0,0.01,6441,124.20,16
2020-06-26,OLINDINA,2,0,5,7,0,0.01,28229,24.80,4
2020-06-26,RIBEIRA DO AMPARO,1,3,3,7,0,0.01,14592,47.97,1
2020-06-26,CARDEAL DA SILVA,7,0,0,7,0,0.01,9295,75.31,17
2020-06-26,OURICANGAS,6,0,1,7,0,0.01,8564,81.74,0
2020-06-26,CRISOPOLIS,4,2,1,7,0,0.01,21103,33.17,9
2020-06-26,ARAMARI,2,0,3,5,0,0.01,11397,43.87,1
2020-06-26,CICERO DANTAS,3,0,2,5,0,0.01,32515,15.38,1
2020-06-26,ANTAS,0,0,3,3,0,0.01,19291,15.55,21
2020-06-26,CIPO,1,0,2,3,0,0.01,17300,17.34,15
2020-06-26,FATIMA,1,0,1,2,0,0.00,17890,11.18,24
2020-06-26,ARACAS,1,0,1,2,0,0.00,12177,16.42,26
2020-06-26,PEDRAO,1,0,0,1,0,0.00,7347,13.61,26
2020-06-26,TOTAL ,554,44,529,1127,13,2
2020-06-26,JUAZEIRO,112,0,369,481,36,0.86,216707,221.96,0
2020-06-26,PAULO AFONSO,92,5,52,149,4,0.27,117782,126.50,0
2020-06-26,SOBRADINHO,25,1,98,124,1,0.22,23191,534.69,0
2020-06-26,SENHOR DO BONFIM,25,0,87,112,6,0.20,79015,141.75,0
2020-06-26,CASA NOVA ,6,0,66,72,7,0.13,71969,100.04,0
2020-06-26,CAMPO FORMOSO,18,0,52,70,5,0.13,71206,98.31,0
2020-06-26,CURACA,18,0,45,63,0,0.11,34700,181.56,2
2020-06-26,JAGUARARI,6,10,45,61,0,0.11,33570,181.71,0
2020-06-26,FILADELFIA,5,0,43,48,5,0.09,16377,293.09,0
2020-06-26,PILAO ARCADO,8,0,40,48,0,0.09,35048,136.96,3
2020-06-26,CAMPO ALEGRE DE LOURDES,11,0,21,32,1,0.06,28798,111.12,1
2020-06-26,REMANSO,14,0,13,27,0,0.05,41008,65.84,24
2020-06-26,SENTO SE ,0,0,21,21,0,0.04,40684,51.62,1
2020-06-26,PINDOBACU,0,0,17,17,3,0.03,20150,84.37,0
2020-06-26,GLORIA,7,0,9,16,0,0.03,15221,105.12,0
2020-06-26,UAUA,3,0,10,13,0,0.02,24240,53.63,0
2020-06-26,CANUDOS,0,0,12,12,0,0.02,16668,71.99,15
2020-06-26,PONTO NOVO ,11,0,0,11,1,0.02,14914,73.76,0
2020-06-26,SANTA BRIGIDA,4,0,6,10,0,0.02,14213,70.36,0
2020-06-26,ANTONIO GONCALVES,4,0,3,7,0,0.01,11798,59.33,0
2020-06-26,ITIUBA,1,0,6,7,0,0.01,36089,19.40,21
2020-06-26,RODELAS,2,0,5,7,0,0.01,9331,75.02,0
2020-06-26,ANDORINHA,2,0,3,5,0,0.01,14595,34.26,0
2020-06-26,JEREMOABO,4,0,1,5,0,0.01,40463,12.36,9
2020-06-26,CHORROCHO,0,0,3,3,0,0.01,11177,26.84,0
2020-06-26,PEDRO ALEXANDRE,1,0,1,2,0,0.00,16667,12.00,10
2020-06-26,ABARE,0,0,1,1,0,0.00,20086,4.98,6
2020-06-26,TOTAL ,379,16,1029,1424,69,3
2020-06-26,BARREIRAS,189,0,92,281,3,0.50,155439,180.78,0
2020-06-26,LUIS EDUARDO MAGALHAES,104,0,69,173,10,0.31,87519,197.67,0
2020-06-26,BOM JESUS DA LAPA,18,1,34,53,0,0.10,69148,76.65,0
2020-06-26,RIACHAO DAS NEVES,21,0,24,45,0,0.08,22339,201.44,0
2020-06-26,SAO DESIDERIO,14,0,29,43,0,0.08,33742,127.44,4
2020-06-26,MANSIDAO,3,5,28,36,0,0.06,13643,263.87,1
2020-06-26,OLIVEIRA DOS BREJINHOS,14,0,19,33,0,0.06,21825,151.20,6
2020-06-26,BURITIRAMA,8,0,15,23,0,0.04,21174,108.62,0
2020-06-26,BARRA,16,0,5,21,0,0.04,53578,39.20,7
2020-06-26,IBOTIRAMA,18,0,0,18,0,0.03,26927,66.85,0
2020-06-26,CRISTOPOLIS,5,1,11,17,0,0.03,13910,122.21,1
2020-06-26,MUQUEM DE SAO FRANCISCO,11,0,3,14,0,0.03,11348,123.37,0
2020-06-26,SANTA RITA DE CASSIA,2,1,6,9,0,0.02,28338,31.76,15
2020-06-26,MORPARA,7,0,2,9,0,0.02,8519,105.65,6
2020-06-26,FORMOSA DO RIO PRETO,5,0,4,9,0,0.02,25591,35.17,2
2020-06-26,COCOS,7,0,0,7,0,0.01,18777,37.28,29
