ibgeID,city,population,regex
2919157,Lapão,27223,^[^A-Z]*LAPAO[^A-Z]*$
2919157,Lapão,27223,^[^A-Z]*LAPÃO[^A-Z]*$
2906204,Canarana,26176,^[^A-Z]*CANARANA[^A-Z]*$
2930600,Serrolândia,13397,^[^A-Z]*SERROLANDIA[^A-Z]*$
2930600,Serrolândia,13397,^[^A-Z]*SERROLÂNDIA[^A-Z]*$
2901155,América Dourada,16094,^[^A-Z]*AMERICA[^A-Z]+DOURADA[^A-Z]*$
2901155,América Dourada,16094,^[^A-Z]*AMÉRICA[^A-Z]+DOURADA[^A-Z]*$
2921203,Miguel Calmon,26023,^[^A-Z]*MIGUEL[^A-Z]+CALMON[^A-Z]*$
2911303,Gentio do Ouro,11233,^[^A-Z]*GENTIO[^A-Z]+DO[^A-Z]+OURO[^A-Z]*$
2933158,Várzea Nova,12697,^[^A-Z]*VARZEA[^A-Z]+NOVA[^A-Z]*$
2933158,Várzea Nova,12697,^[^A-Z]*VÁRZEA[^A-Z]+NOVA[^A-Z]*$
2925931,Quixabeira,8972,^[^A-Z]*QUIXABEIRA[^A-Z]*$
2921708,Morro do Chapéu,35413,^[^A-Z]*MORRO[^A-Z]+DO[^A-Z]+CHAPEU[^A-Z]*$
2921708,Morro do Chapéu,35413,^[^A-Z]*MORRO[^A-Z]+DO[^A-Z]+CHAPÉU[^A-Z]*$
2923357,Ourolândia,17451,^[^A-Z]*OUROLANDIA[^A-Z]*$
2923357,Ourolândia,17451,^[^A-Z]*OUROLÂNDIA[^A-Z]*$
2922052,Mulungu do Morro,10889,^[^A-Z]*MULUNGU[^A-Z]+DO[^A-Z]+MORRO[^A-Z]*$
2921401,Mirangaba,18338,^[^A-Z]*MIRANGABA[^A-Z]*$
2912400,Ibipeba,18211,^[^A-Z]*IBIPEBA[^A-Z]*$
2924801,Piritiba,24755,^[^A-Z]*PIRITIBA[^A-Z]*$
2933059,Várzea da Roça,14104,^[^A-Z]*VARZEA[^A-Z]+DA[^A-Z]+ROCA[^A-Z]*$
2933059,Várzea da Roça,14104,^[^A-Z]*VÁRZEA[^A-Z]+DA[^A-Z]+ROÇA[^A-Z]*$
2932408,Uibaí,13887,^[^A-Z]*UIBAI[^A-Z]*$
2932408,Uibaí,13887,^[^A-Z]*UIBAÍ[^A-Z]*$
2929370,São José do Jacuípe,10462,^[^A-Z]*SAO[^A-Z]+JOSE[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$
2929370,São José do Jacuípe,10462,^[^A-Z]*SÃO[^A-Z]+JOSÉ[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$
