regex,municipio
^[^A-Z]*MATA[^A-Z]+DE[^A-Z]+SAO[^A-Z]+JOAO[^A-Z]*$,Mata de São João
^[^A-Z]*MATA[^A-Z]+DE[^A-Z]+SÃO[^A-Z]+JOÃO[^A-Z]*$,Mata de São João
^[^A-Z]*VERA[^A-Z]+CRUZ[^A-Z]*$,Vera Cruz
^[^A-Z]*CRUZ[^A-Z]+DAS[^A-Z]+ALMAS[^A-Z]*$,Cruz das Almas
^[^A-Z]*CONCEICAO[^A-Z]+DA[^A-Z]+FEIRA[^A-Z]*$,Conceição da Feira
^[^A-Z]*CONCEIÇÃO[^A-Z]+DA[^A-Z]+FEIRA[^A-Z]*$,Conceição da Feira
^[^A-Z]*MARAGOGIPE[^A-Z]*$,Maragogipe
^[^A-Z]*PRESIDENTE[^A-Z]+TANCREDO[^A-Z]+NEVES[^A-Z]*$,Presidente Tancredo Neves
^[^A-Z]*CACHOEIRA[^A-Z]*$,Cachoeira
^[^A-Z]*ITAPARICA[^A-Z]*$,Itaparica
^[^A-Z]*MURITIBA[^A-Z]*$,Muritiba
^[^A-Z]*CASTRO[^A-Z]+ALVES[^A-Z]*$,Castro Alves
^[^A-Z]*MILAGRES[^A-Z]*$,Milagres
^[^A-Z]*NAZARE[^A-Z]*$,Nazaré
^[^A-Z]*NAZARÉ[^A-Z]*$,Nazaré
^[^A-Z]*AMARGOSA[^A-Z]*$,Amargosa
^[^A-Z]*CONDE[^A-Z]*$,Conde
^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+ALMEIDA[^A-Z]*$,Conceição do Almeida
^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+ALMEIDA[^A-Z]*$,Conceição do Almeida
^[^A-Z]*ITATIM[^A-Z]*$,Itatim
^[^A-Z]*SAUBARA[^A-Z]*$,Saubara
^[^A-Z]*SAPEACU[^A-Z]*$,Sapeaçu
^[^A-Z]*SAPEAÇU[^A-Z]*$,Sapeaçu
^[^A-Z]*JAGUARIPE[^A-Z]*$,Jaguaripe
^[^A-Z]*MUTUIPE[^A-Z]*$,Mutuípe
^[^A-Z]*MUTUÍPE[^A-Z]*$,Mutuípe
^[^A-Z]*SAO[^A-Z]+FELIX[^A-Z]*$,São Félix
^[^A-Z]*SÃO[^A-Z]+FÉLIX[^A-Z]*$,São Félix
^[^A-Z]*GOVERNADOR[^A-Z]+MANGABEIRA[^A-Z]*$,Governador Mangabeira
^[^A-Z]*SANTA[^A-Z]+TERESINHA[^A-Z]*$,Santa Teresinha
^[^A-Z]*SAO[^A-Z]+FELIPE[^A-Z]*$,São Felipe
^[^A-Z]*SÃO[^A-Z]+FELIPE[^A-Z]*$,São Felipe
^[^A-Z]*LAJE[^A-Z]*$,Laje
^[^A-Z]*CABACEIRAS[^A-Z]+DO[^A-Z]+PARAGUACU[^A-Z]*$,Cabaceiras do Paraguaçu
^[^A-Z]*CABACEIRAS[^A-Z]+DO[^A-Z]+PARAGUAÇU[^A-Z]*$,Cabaceiras do Paraguaçu
^[^A-Z]*SALINAS[^A-Z]+DA[^A-Z]+MARGARIDA[^A-Z]*$,Salinas da Margarida
^[^A-Z]*MUNIZ[^A-Z]+FERREIRA[^A-Z]*$,Muniz Ferreira
^[^A-Z]*DOM[^A-Z]+MACEDO[^A-Z]+COSTA[^A-Z]*$,Dom Macedo Costa
^[^A-Z]*UBAIRA[^A-Z]*$,Ubaíra
^[^A-Z]*UBAÍRA[^A-Z]*$,Ubaíra
^[^A-Z]*VARZEDO[^A-Z]*$,Varzedo
^[^A-Z]*SAO[^A-Z]+MIGUEL[^A-Z]+DAS[^A-Z]+MATAS[^A-Z]*$,São Miguel das Matas
^[^A-Z]*SÃO[^A-Z]+MIGUEL[^A-Z]+DAS[^A-Z]+MATAS[^A-Z]*$,São Miguel das Matas
